MSA,MSA Size,Year,Percent Volunteered,Volunteered_Rank,Percent Attended a Public Meeting,Percent Attended a Public Meeting_rank,Percent Worked with Neighbors to Fix a Community Problem,Worked with Neighbors to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Contacted or Visited a Public Official,Contacted or Visited a Public Official_rank,Percent Bought or boycotted a product ,Bought or boycotted a product_rank,Percent Belongs to a Community Group,Belongs to a community group_rank,Percent Belongs to a Civic Organization,Belongs to a Civic Organization_rank
Akron OH,2,2011,21.7,183,4.1,219,2.5,233,27.7,255,16.3,64,7.7,201,15.2,129,9.5,86
Albany GA,1,2011,18.8,210,2.8,244,6.7,163,46.2,198,7.3,221,5.5,234,18.8,72,11.2,57
Albany-Schenectady-Troy NY,2,2011,28.2,114,11.9,67,12,67,51.7,148,16.4,61,10.8,153,14.3,148,9.5,86
Albuquerque NM,2,2011,22.2,179,7.2,162,6.8,159,47.2,192,15,78,15.1,91,12.3,182,3.9,222
Allentown-Bethlehem-Easton PA,2,2011,24.4,155,4.4,212,3.3,222,53.2,137,12,132,9.7,173,17,99,5.5,183
Altoona PA,1,2011,10.8,254,3.2,239,8.1,134,62.5,49,7.9,208,5,238,9.8,212,13,37
Amarillo TX,1,2011,16.6,232,1.5,256,0,252,31.3,250,5.2,246,11.4,143,6.9,238,1.6,255
Anderson IN,1,2011,8.6,261,0,259,0,252,36.3,241,14.6,86,10.8,153,6.8,239,0,258
Anderson SC,1,2011,20.1,204,4.9,207,0,252,64.5,37,5.1,248,2.1,255,2.1,260,2,250
Ann Arbor MI,2,2011,47.3,2,20.6,7,20.6,9,59.3,73,30,3,34.4,2,32.5,6,19.3,12
Anniston-Oxford AL,1,2011,33,56,5.8,192,17,23,58.9,77,7.1,223,4.1,245,32.5,6,11.1,58
Appleton WI,1,2011,31.7,68,12.2,63,11.2,83,57.5,92,28.8,5,17.9,56,16.5,108,15.3,23
Asheville NC,2,2011,21.5,186,15.8,23,16.7,24,57.6,90,19.4,35,19.1,50,24.1,24,6.3,165
Athens-Clarke County GA,1,2011,26.2,136,5.5,199,8.4,131,64.9,34,8,207,21.5,29,16.9,100,7.1,146
Atlanta-Sandy Springs-Roswell GA,3,2011,26.3,133,8.5,135,10,101,49.5,175,12.2,129,11.2,147,21,45,6.6,161
Atlantic City-Hammonton NJ,2,2011,24.7,150,3.7,231,5.3,196,31.2,251,9.8,174,12.2,125,13.8,161,9.4,90
Augusta-Richmond County GA-SC,2,2011,23.1,174,18.7,13,13,54,44.1,218,11.3,140,8.6,188,15.2,129,3.9,222
Austin-Round Rock TX,3,2011,29.9,91,15.8,23,12,67,55.7,112,9.3,186,12.8,117,16.4,111,5.3,193
Bakersfield CA,2,2011,20.8,193,2.6,246,1.1,250,48.9,181,6.2,235,8.7,186,11.5,194,9,100
Baltimore-Columbia-Towson MD,3,2011,25,148,6.7,172,6.8,159,54,129,11.2,142,12.1,130,20.9,49,7.9,130
Bangor ME,1,2011,28.6,110,13.6,42,11.3,80,50,170,18.1,42,17.9,56,11.5,194,10.8,61
Barnstable Town MA,1,2011,30.4,84,24.1,4,16.2,29,63.2,46,19.4,35,12.1,130,17.5,90,7.7,132
Baton Rouge LA,2,2011,16.5,233,19.7,11,15.3,33,55.1,116,11,147,12.7,120,16.5,108,3.6,227
Beaumont-Port Arthur TX,2,2011,22.8,176,6.2,185,1.6,248,51.4,151,8.1,206,13.8,108,20.2,57,4.1,217
Bellingham WA,1,2011,27.5,123,11.7,69,5.3,196,49.7,172,14.5,88,16.8,71,15.8,120,3.6,227
Bend-Redmond OR,1,2011,41.4,14,15.6,27,22.3,8,56.4,102,14.4,91,28.8,9,21,45,9.3,91
Billings MT,1,2011,37.5,27,14.4,35,19.7,14,57.2,97,17.3,51,10.2,164,15.4,123,11.5,55
Binhamton NY,2,2011,35.7,35,9.4,115,12.7,59,54.3,125,5.3,242,3.2,250,9.2,218,7.1,146
Birmingham-Hoover AL,3,2011,27.7,118,8.3,141,7.7,140,63.6,43,11.7,137,7.4,207,17.8,88,6.2,170
Bloomington IL,1,2011,22.4,178,10,101,9.5,114,38,239,9.8,174,17.8,61,7.5,234,8.1,124
Bloomington-Normal IL,1,2011,38.9,22,20.3,9,16.4,26,60.2,67,28,6,21.9,28,30.6,9,30.5,1
Boise City ID,2,2011,41.7,13,13.5,43,14.5,40,62.7,48,13.9,97,17.1,68,18.4,74,9.2,93
Boston-Cambridge-Quincy MA-NH,3,2011,25.7,142,12.8,51,11.3,80,53.5,134,15.8,68,13.5,111,15.4,123,5.4,189
Boulder CO,2,2011,40.9,15,12.8,51,13.9,49,64.7,36,22.1,21,31.9,6,21.3,41,13,37
Bowling Green KY,1,2011,13.8,244,2.5,249,3.1,226,26.9,256,3.3,255,6.6,220,2.6,257,0,258
Bremerton-Silverdale WA,1,2011,43.5,9,11.4,76,15.3,33,78.1,4,17.8,44,25.3,15,17.9,84,4.3,211
Bridgeport-Stamford-Norwalk CT,2,2011,33.2,52,10.1,99,9.7,112,62.3,50,15.8,68,16.8,71,23.4,30,9.8,74
Brownsville-Harlingen TX,2,2011,10.6,256,6.6,175,4.7,206,19,261,1.5,261,2.7,251,7.7,232,2.8,243
Buffalo-Niagara Falls NY,3,2011,20.5,195,7.5,156,6.4,168,54.8,119,8.7,196,9.8,169,13.3,171,12.1,46
Burlington-South Burlington VT,1,2011,31.3,75,21.2,6,20.4,10,56.1,104,21.9,23,25.9,13,18.2,78,13.4,33
Canton-Massilon OH,2,2011,20.2,203,3.8,228,0.9,251,34.9,244,10.6,157,9.2,181,9.4,217,8.1,124
Cape Coral-Fort Myers FL,2,2011,29.1,100,11.5,74,14.3,44,66.9,21,12.5,122,2.3,252,15.2,129,14.5,27
Cedar Rapids IA,1,2011,39.2,21,7,167,10,101,55.1,116,12.9,115,11.1,148,14.1,152,10.2,69
Champaign-Urbana IL,1,2011,28.3,113,8,144,5.9,184,45.7,200,10.5,159,12.2,125,11.8,189,9.5,86
Charleston WV,2,2011,33.1,53,3.8,228,2.3,238,56.1,104,11.2,142,6.7,218,13.4,169,9.7,80
Charleston-North Charleston SC,2,2011,30.5,82,4.3,216,7.5,146,53.7,132,12.8,118,10.2,164,18.4,74,9.2,93
Charlotte-Gastonia-Concord NC-SC,3,2011,29.1,100,9.2,118,9.9,107,54.4,123,11,147,9.5,176,16.5,108,3.7,225
Chattanooga TN-GA,2,2011,31.7,68,9.1,121,14.3,44,53.9,130,13.3,104,15.9,80,21,45,2.9,241
Chicago-Naperville-Joliet IL-IN-WI,3,2011,23.8,165,8.6,133,5.8,187,54.6,121,12.8,118,10.6,157,14.7,140,5.5,183
Chico CA,1,2011,37.6,25,16.2,20,26.7,4,42.7,227,16,65,14.1,104,16.3,115,2,250
Cincinnati-Middletown OH-KY-IN,3,2011,26.9,128,4.8,209,6.3,170,45.2,205,7.9,208,7.4,207,11.5,194,6.7,157
Cleveland-Elyria-Mentor OH,3,2011,24,161,8.5,135,7.6,143,49.5,175,13.2,106,11.3,146,13.5,166,9.1,99
Coeur d Alene ID,1,2011,28.8,106,11.1,79,18,20,43.1,225,8.3,203,12.6,121,15.4,123,17.8,13
Colorado Springs CO,2,2011,27.2,125,13.4,46,12.9,57,67.3,20,29.6,4,25.9,13,25.4,19,13,37
Columbia MO,1,2011,29,102,9.7,110,0,252,66.9,21,22.1,21,9.6,174,14.2,150,11.9,50
Columbia SC,2,2011,21.4,189,5.6,195,11,86,66.4,24,6.8,227,23.9,19,22.3,34,8.2,122
Columbus GA-SC,2,2011,18.3,217,6.3,182,5,201,41.5,231,6.4,233,6.9,214,40.7,3,8.4,115
Columbus OH,3,2011,27.7,118,9.1,121,6.7,163,43.6,221,9.6,182,10.8,153,17.2,95,5.5,183
Corpus Christi TX,2,2011,15.2,235,4.5,211,4.2,211,44.1,218,7.1,223,6.8,215,16.6,107,2.1,248
Dallas-Forth Worth-Arlington TX,3,2011,27.6,121,8.5,135,8,137,53.8,131,9.9,171,10.6,157,22.3,34,7.7,132
Danbury CT,1,2011,18.6,213,11.6,71,11.9,69,60.1,68,20.4,32,10.2,164,18.3,77,9.2,93
