MSA ,MSA Size,Year,Percent Volunteered,Volunteered_rank,Percent Attended a Public Meeting,Attended a Public Meeting_rank,Percent Worked with a Neighbor to Fix a Community Problem,Worked with a Neighbor to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Voted,Voted_rank,Percent Registered to Vote,Registered to Vote_rank
Akron OH,2,2012,15.8,233,4.6,222,3,238,28.8,255,81.7,35,14.7,246
Albany GA,1,2012,11.5,259,2.3,249,6.3,180,43,217,66.9,172,27.3,202
Albany-Schenectady-Troy NY,2,2012,24.4,160,9.4,130,10.4,93,45.8,199,66.8,175,44.4,77
Albuquerque NM,2,2012,24.9,153,7.5,173,6.9,167,48.3,178,76.8,75,25,216
Allentown-Bethlehem-Easton PA,2,2012,18.3,211,5.4,208,5.3,207,46.8,191,63.3,207,39.5,113
Altoona PA,1,2012,35,45,11.2,91,7.8,147,70.3,19,57.9,236,44.3,79
Amarillo TX,1,2012,15.6,236,6.8,183,2.4,244,36.1,242,59.7,225,49.1,50
Anderson IN,1,2012,19.8,207,5.9,198,6.7,171,33.8,247,63.3,207,46,66
Anderson SC,1,2012,14,242,2.2,251,2.2,247,75.1,9,65.4,189,55.2,31
Ann Arbor MI,2,2012,29.1,98,16.9,23,20.6,13,54,121,76.8,75,35.9,145
Anniston-Oxford AL,1,2012,37.3,28,9.1,137,4.7,219,53,132,70.2,146,52.4,38
Appleton WI,1,2012,35.7,37,16.4,28,10.5,90,65.1,40,83.6,20,13.4,251
Asheville NC,2,2012,27.4,117,17.7,18,17.9,21,71.5,14,89.1,6,73.7,1
Athens-Clarke County GA,1,2012,33.8,56,11.4,89,14.2,37,55.9,107,74.9,93,18.4,241
Atlanta-Sandy Springs-Roswell GA,3,2012,24.8,154,9.7,121,9.3,109,52.2,140,76.4,80,43.6,82
Atlantic City-Hammonton NJ,2,2012,23.8,164,5.5,205,4,230,52.4,139,73.3,109,46.3,63
Augusta-Richmond County GA-SC,2,2012,18.9,209,14,50,13.4,40,39.4,233,83.6,20,49.8,44
Austin-Round Rock TX,3,2012,27.5,116,11.7,79,11.9,62,50.2,159,69.7,153,49.3,49
Bakersfield CA,2,2012,21.3,190,3.5,239,4.3,221,50,163,57.1,240,37.9,126
Baltimore-Columbia-Towson MD,3,2012,27.3,118,7.3,174,7.7,149,53.2,127,76.9,72,47.4,58
Bangor ME,1,2012,30.2,89,15.5,34,10.5,90,43.6,214,77.2,66,60.1,13
Barnstable Town MA,1,2012,36.3,35,22.2,8,12.7,45,68.7,23,83.4,22,42.5,90
Baton Rouge LA,2,2012,9.9,262,8.1,155,11.3,73,34.2,246,82,33,63.8,7
Beaumont-Port Arthur TX,2,2012,28.9,103,6.9,181,15.4,31,48.3,178,69.1,160,31.4,173
Bellingham WA,1,2012,33.9,55,10.5,106,1.9,249,62.7,49,74.7,94,27.1,204
Bend-Redmond OR,1,2012,35.2,38,16.3,31,12.7,45,55.3,112,84.9,15,49.8,44
Billings MT,1,2012,34.5,49,19,15,22.4,11,50.1,162,63.3,207,38,125
Binhamton NY,2,2012,17.5,218,12.9,60,12.4,54,48,181,68.9,162,49.4,48
Birmingham-Hoover AL,3,2012,22.2,184,9.3,133,3.4,236,57.9,86,75.4,88,56.7,27
Bloomington IL,1,2012,36.9,31,11.5,87,3.5,235,51.8,146,71.4,131,38.7,120
Bloomington-Normal IL,1,2012,36.7,33,9.8,118,11.6,68,69.4,21,72.7,115,66.2,4
Boise City ID,2,2012,36.1,36,11.7,79,9.1,112,57.8,88,74.5,98,26.3,209
Boston-Cambridge-Quincy MA-NH,3,2012,23.3,169,10.1,113,8.4,129,55.5,110,80.4,45,41.1,101
Boulder CO,2,2012,34.9,47,14.8,40,18,20,56.1,104,89.3,5,41.9,96
Bowling Green KY,1,2012,23.5,166,11.6,85,0,254,39.9,231,28.5,263,44.2,80
Bremerton-Silverdale WA,1,2012,29.4,96,9.4,130,12.3,55,62.4,51,73.3,109,19.3,239
Bridgeport-Stamford-Norwalk CT,2,2012,38.5,25,11.7,79,10.6,88,62.4,51,80.7,42,40.2,106
Brownsville-Harlingen TX,2,2012,13.4,246,0,260,0,254,42.6,219,73.3,109,14.4,248
Buffalo-Niagara Falls NY,3,2012,25.2,149,8.1,155,4.8,217,62.9,47,71,139,49.6,47
Burlington-South Burlington VT,1,2012,34,53,17,22,12.6,49,47.4,187,71.4,131,36.3,140
Canton-Massilon OH,2,2012,29.2,97,11,93,5.9,188,44.4,206,66.7,177,30.5,182
Cape Coral-Fort Myers FL,2,2012,29.6,94,5.2,213,4.3,221,58,84,66.6,179,45.2,71
Cedar Rapids IA,1,2012,39.6,22,7.9,162,10.4,93,58.1,83,76,83,42.7,87
Champaign-Urbana IL,1,2012,23.4,167,10.2,112,7,165,63.3,44,71.9,124,36.3,140
Charleston WV,2,2012,26,139,8,159,11.8,64,52.6,137,59.1,231,56.9,26
Charleston-North Charleston SC,2,2012,20.4,200,6.6,186,8.2,133,45.2,204,79.7,50,62.1,10
Charlotte-Gastonia-Concord NC-SC,3,2012,32.1,65,13.5,52,12.1,58,60,72,73.3,109,46.6,62
Chattanooga TN-GA,2,2012,19.9,205,11.5,87,8.6,125,57.8,88,65.9,187,40.1,107
Chicago-Naperville-Joliet IL-IN-WI,3,2012,25.1,150,8.7,143,7.2,158,57.3,92,72.6,116,46.1,65
Chico CA,1,2012,27.1,122,11.9,76,10.9,80,38.4,235,62.3,213,0,264
Cincinnati-Middletown OH-KY-IN,3,2012,24.7,157,7.6,171,7.4,154,46.1,196,72.1,122,39.5,113
Cleveland-Elyria-Mentor OH,3,2012,23.8,164,7.3,174,9.1,114,49.9,164,77.9,61,42.3,94
Coeur d Alene ID,1,2012,33.1,60,15.2,36,9.3,109,51.6,149,59.5,227,18.1,242
Colorado Springs CO,2,2012,33.3,58,15,38,18.1,19,65.6,36,79.1,51,27.5,201
Columbia MO,1,2012,45.3,10,10.8,99,14.7,33,65.4,39,71.1,137,64.1,6
Columbia SC,2,2012,25.8,142,8.4,151,16.2,29,53.8,123,79,52,22.2,233
Columbus GA-SC,2,2012,18.3,211,4.7,220,6.5,178,18.9,261,59.9,223,10.8,253
Columbus OH,3,2012,29,100,9.3,133,10,97,48.7,175,82.3,31,41.5,98
Corpus Christi TX,2,2012,18,216,12.8,63,7.1,163,40,230,57.8,237,64.6,5
Dallas-Forth Worth-Arlington TX,3,2012,24.8,154,7.1,179,5.9,188,53.1,128,62.7,211,33.4,156
Danbury CT,1,2012,29.1,98,10.5,106,8.4,129,62.1,55,81.3,38,58,22
Davenport-Moline-Rock Island IA-IL,2,2012,28.2,113,8.8,141,8.1,138,63.2,45,60.9,219,26.6,207
Dayton OH,2,2012,32,69,5.6,202,8.5,128,54.1,120,72.3,120,44.8,73
Decatur AL,1,2012,21.1,193,8.7,143,20.4,15,75.2,8,70.8,141,70.3,3
Decatur IL,1,2012,29.9,91,6.9,181,5.8,195,47.1,190,69.8,152,58.3,19
Deltona-Daytona Beach-Ormond Beach FL,2,2012,23.3,169,10.5,106,7.2,158,58.7,76,70,150,24,224
Denver-Aurora CO,3,2012,28.4,109,10.6,104,8.9,117,52.7,136,81.6,36,23.9,225
Des Moines IA,2,2012,35.1,42,14.6,41,12.5,50,53.1,128,83.9,16,39.2,118
Detroit-Warren-Livonia MI,3,2012,25.6,146,9,140,9.2,111,51.8,146,79,52,57.8,23
Dover DE,1,2012,23.2,171,4.3,228,4.8,217,44.2,207,70.4,144,37.2,131
Duluth MN-WI,2,2012,44.1,12,23.1,6,21.5,12,80.8,2,76.5,77,16.1,244
Durham NC,2,2012,27.2,121,12.6,67,9.7,102,51,153,87.1,10,32,170
Eau Claire WI,1,2012,21.3,190,7.9,162,5.9,188,57.2,94,81.1,40,39.7,112
El Centro CA,1,2012,13.7,245,2.1,252,13.7,38,40.6,229,69.5,155,26.9,205
El Paso TX,2,2012,13.4,246,3.1,242,5.6,201,32.3,249,57,241,42.6,88
Erie PA,2,2012,15.1,238,10.1,113,7.5,150,41.5,223,59,232,58.4,18
Eugene-Springfield OR,2,2012,40.9,21,13.4,55,10.7,84,55.4,111,83.8,19,41.3,99
Evansville IN-KY,2,2012,31.6,74,3.3,240,0,254,53.1,128,59.8,224,61.3,11
Fargo ND-MN,1,2012,32.1,65,10.8,99,11.5,69,57,97,70.7,143,39.4,117
Farmington NM,1,2012,23.2,171,24.5,5,11.1,77,25.5,257,53.2,250,34,152
Fayetteville NC,2,2012,21.6,189,3.7,236,8.1,138,50.2,159,80.5,43,39.5,113
Fayetteville-Springdale-Rogers AR-MO,2,2012,16.6,227,4.7,220,2.6,241,34.5,245,59.2,230,30.7,176
Flint MI,2,2012,14.7,239,3,246,0,254,36.8,239,71.9,124,47.6,56
Florence AL,1,2012,53,4,11.1,92,11.8,64,80.6,4,61.9,215,54.5,32
Fort Collins-Loveland CO,2,2012,36.9,31,15.2,36,14.6,34,71.3,15,82.8,28,28.8,192
Fort Smith AR-OK,2,2012,25.6,146,8.6,146,9.6,104,55,114,57,241,21.8,234
Fort Walton Beach-Crestview-Destin FL,1,2012,24.3,162,5.5,205,5.8,195,29.9,252,53.2,250,8.5,256
Fort Wayne IN,2,2012,24.5,158,9.4,130,10,97,49.3,170,66.1,182,7,260
Fresno CA,2,2012,22.2,184,5.8,200,5,211,41.3,226,67,171,31,175
Gainesville FL,1,2012,47.3,6,10.9,97,10.8,82,67.1,29,82.9,27,41.2,100
Grand Rapids-Wyonming MI,2,2012,35.1,42,10.5,106,7.9,146,56.8,99,70.1,148,59.5,15
Greeley CO,1,2012,31.7,72,14.1,47,15.8,30,62.1,55,76.5,77,0,263
Green Bay WI,2,2012,43.9,13,14.1,47,20.5,14,57.4,91,77.9,61,22.8,231
Greensboro-High Point SC,2,2012,28.9,103,6.5,188,8.8,119,51.4,152,75.8,86,41.8,97
Greenville SC,2,2012,28.3,112,6.7,185,7.4,154,58.7,76,66.9,172,42.5,90
Gulfport-Biloxi MS,1,2012,46,8,28.3,4,25.4,5,62.7,49,66.1,182,46.2,64
Hagerstown-Martinsburg MD-WV,1,2012,23.4,167,9.6,124,6.9,167,54.8,118,64.3,199,37.1,133
Harrisburg-Carlisle PA,2,2012,31.3,77,11.7,79,7,165,58,84,80.4,45,47.4,58
Harrisonburg VA,1,2012,41.5,18,19.1,14,12.3,55,74.6,10,81.4,37,0,262
Hartford-West Hartford-East Hartford CT,3,2012,25.8,142,11.9,76,8.7,122,57.7,90,70.9,140,37.6,129
Hickory-Morganton-Lenoir NC,2,2012,39.6,22,3.8,235,3.8,232,52.8,135,61.8,216,53.6,34
Holland-Grand Haven MI,1,2012,52.3,5,12.9,60,17.1,24,70.5,18,91.3,3,72.9,2
Honolulu HI,2,2012,20.9,196,5.3,211,7.5,150,55,114,59.7,225,23,228
Houston-Baytown-Sugar Land TX,3,2012,17.4,220,6.6,186,6.6,175,50.9,154,59.5,227,38.7,120
Huntington-Ashland WV-KY-OH,2,2012,20.9,196,1.2,259,1.7,251,51.6,149,46.1,259,43.2,84
Huntsville AL,2,2012,12.6,253,9.5,127,6.2,182,48.9,172,74.4,99,32.3,169
Indianapolis IN,3,2012,35,45,9.9,117,10.5,90,66.4,33,72.6,116,26.3,209
Iowa City IA,1,2012,35.2,38,16.4,28,12,60,52.5,138,91.6,2,26.4,208
Jackson MI,1,2012,15.4,237,7.8,168,9.6,104,29.6,253,67.8,168,28.5,195
Jackson MS,2,2012,26.9,126,14.4,44,17,25,67.9,24,86.6,11,44.8,73
Jacksonville FL,3,2012,28.9,103,7.2,177,7.2,158,50.4,157,83.2,26,40.5,103
Jacksonville NC,1,2012,15.8,233,4,231,7.4,154,43.2,216,48.2,258,47.8,55
Janesville WI,1,2012,27.6,115,9.8,118,9.6,104,46.8,191,71.7,128,30.2,184
Johnson City TN,1,2012,22.8,177,4.5,224,2.1,248,35.9,243,56.9,243,24.3,222
Johnstown PA,1,2012,27.3,118,14.2,45,6.9,167,56.9,98,77.1,67,45.7,69
Joplin MO,1,2012,41.4,19,6.3,191,25.2,6,65.6,36,58.5,235,47.5,57
Kalamazoo-Portage MI,2,2012,32.9,62,13.5,52,10.9,80,47.5,186,73.6,106,35.5,147
Kankakee-Bradley IL,1,2012,22.2,184,4.3,228,1.3,253,50.2,159,55.7,245,45.6,70
Kansas City MO-KS,3,2012,31,82,8,159,11.2,74,61.4,64,73.6,106,48.9,51
Killeen-Temple-Fort Hood TX,2,2012,12.6,253,3.2,241,4.9,215,22,258,66.7,177,8.7,255
Kingsport-Bristol TN-VA,1,2012,26.7,129,8.1,155,11.2,74,49.8,165,49.5,256,37.6,129
Kingston NY,1,2012,39.4,24,29.8,3,24.4,8,66.3,34,68.7,165,44.4,77
Knoxville TN,2,2012,33.7,57,5.6,202,4.1,228,51.6,149,64.6,196,45.1,72
La Crosse WI-MN,1,2012,30.6,86,13.9,51,12.7,45,55,114,82.5,30,23,228
Lafayette LA,1,2012,17,224,8.4,151,8.3,132,56.6,100,76.9,72,58.1,21
Lake Charles LA,1,2012,25.6,146,6.3,191,5.8,195,33.5,248,56.2,244,24.8,218
Lakeland-Winter Haven FL,2,2012,26.4,134,8.4,151,8.8,119,34.9,244,75.6,87,25,216
Lancaster PA,2,2012,20.6,198,7.7,170,17.3,22,49.7,166,52.7,252,7.2,258
Lansing-East Lansing MI,2,2012,25.7,144,6,197,14.6,34,55.1,113,71.2,135,60.3,12
Laredo TX,1,2012,17.4,220,5.2,213,0,254,28.9,254,20.5,264,27.6,200
Las Cruces NM,1,2012,21.2,192,9.7,121,4.2,223,28.5,256,77.1,67,33.2,159
Las Vegas-Paradise NV,3,2012,15.8,233,8.8,141,9.7,102,48.8,174,68.5,166,23,228
Lawrence KS,1,2012,42.4,17,20.9,10,17.2,23,60.4,68,70.8,142,37.8,127
Lawton OK,1,2012,23.2,171,12.1,74,4.1,228,46.6,195,42.6,260,32.5,165
Leominster-Fitchburg-Gardner MA,1,2012,37.4,27,17.3,20,9.1,112,62.2,53,86.5,12,42.4,92
Lexington-Fayette KY,2,2012,25,151,11.7,79,12.5,50,60.2,69,67.9,167,51.9,39
Little Rock-North Little Rock AR,2,2012,23.2,171,10.4,110,6.7,171,48.1,180,61.1,218,30,187
Longview TX,1,2012,16.6,227,4.6,222,6.3,180,39.9,231,63.7,203,42.9,85
Los Angeles-Long Beach-Santa Ana CA,3,2012,20.2,203,5.4,208,5.7,198,43,217,70.2,146,33.1,160
Louisville KY-IN,3,2012,21,194,5.2,213,6.6,175,59.8,73,73.9,102,38.5,122
Lubbock TX,1,2012,26.9,126,8.1,155,8.1,138,41.3,226,51.5,255,48.2,53
Lynchubrg VA,1,2012,31,82,3.1,242,10.7,84,48.4,177,66.8,175,28.5,195
Macon GA,1,2012,12.4,256,15.4,35,11.2,74,47.6,184,77.8,63,53.3,35
Madera CA,1,2012,29.8,92,12.7,65,9.8,101,36.5,240,35.6,262,7.2,258
Madison WI,2,2012,43.3,14,16.8,25,11.1,77,71.2,17,91.8,1,7.8,257
McAllen-Edinburg-Pharr TX,2,2012,7.8,263,0,260,0,254,8,263,40.1,261,20.8,235
Medford OR,1,2012,35.1,42,19.6,13,16.8,26,60.6,67,70,150,10.5,254
Memphis TN-MS-AR,3,2012,27.3,118,8.3,154,8.2,133,57.9,86,71.8,126,33.6,154
Merced CA,1,2012,30.6,86,9.6,124,8.2,133,67.2,28,74.7,94,17.4,243
Miami-Fort Lauderdale-Miami Beach FL,3,2012,14,242,4.8,218,5,211,37.1,238,74.7,94,36.2,144
Michigan City-La Porte IN,1,2012,42.8,16,17.9,17,11.4,71,64.2,41,83.4,22,24.2,223
Midland TX,1,2012,21.8,188,13.3,57,25.6,4,58.2,81,48.7,257,50.3,43
Milwaukee-Waukesha-West Allis WI,3,2012,31.9,70,12.2,71,9.4,107,65.6,36,86,14,42.8,86
Minneapolis-St Paul-Bloomington MN-WI,3,2012,34.3,51,10.7,101,12.2,57,61.2,66,82.7,29,36.3,140
Mobile AL,2,2012,10.6,261,2.3,249,3.7,233,45.3,203,71.5,129,25.9,214
Modesto CA,2,2012,26.7,129,10,116,10,97,54,121,53.5,249,30.5,182
Monroe LA,1,2012,10.7,260,1.7,253,2.7,239,7.4,264,80.9,41,39.8,110
Monroe MI,1,2012,13.4,246,1.6,255,0,254,36.2,241,65.3,190,51.4,41
Montgomery AL,2,2012,17.5,218,9.3,133,8.4,129,66.5,32,69.3,157,60,14
Muskegon-Norton Shores MI,1,2012,20.2,203,8.5,148,6.7,171,63.4,43,77.1,67,56.4,29
Myrtle Beach-Conway-North Myrtle Beach SC,1,2012,27.1,122,3.9,232,9.4,107,41.5,223,55.6,246,28.1,197
Napa CA,1,2012,37,30,11.4,89,16.3,28,59.2,75,70.1,148,38.1,124
Naples-Marco Island FL,2,2012,12.4,256,10.1,113,4.2,223,45.4,202,78.5,56,57.8,23
Nashville-Davidson-Murfreesboro TN,3,2012,26.5,131,7.1,179,8,142,56.6,100,66.1,182,44.7,75
New Haven CT,2,2012,30.8,85,9.6,124,10.1,96,61.7,60,75.1,90,26.9,205
New Orleans-Metairie-Kenner LA,3,2012,18.3,211,10.9,97,16.5,27,48.9,172,68.9,162,42.4,92
New York-Northern New Jersey-Long Island NY-NJ-PA,3,2012,17,224,7.9,162,6.6,175,44.1,208,72.2,121,39.8,110
Niles-Benton Harbor MI,1,2012,31.1,79,6.1,195,5.4,205,67.9,24,64.9,195,36.4,139
Norwich-New London CT-RI,2,2012,25.7,144,11.8,78,11.5,69,60.2,69,69.2,159,28.8,192
Ocala FL,2,2012,5.5,264,0,260,0,254,15.3,262,71.3,133,11.1,252
Ocean City NJ,1,2012,12.1,258,15,38,11.8,64,72.4,13,77,70,32.8,164
