State,Year,Percent Volunteered,Volunteered_Rank,Hours Volunteered per capita,Hours Volunteered_rank,Percent Attended a Public Meeting,Percent Attended a Public Meeting_rank,Percent Worked with Neighbors to Fix a Community Problem,Worked with Neighbors to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Contacted or Visited a Public Official,Contacted or Visited a Public Official_rank,Percent Bought or boycotted a product ,Bought or boycotted a product_rank,Percent Belongs to a Community Group,Belongs to a community group_rank,Percent Belongs to a Civic Organization,Belongs to a Civic Organization_rank
Alabama,2009,22.8,40,19.33,51,8.9,38,7,46,55.5,17,8.6,50,5.4,49,19.1,7,8.3,20
Alaska,2009,35.2,5,44.45,2,18.3,2,16.7,2,60.4,4,20.4,6,11.5,15,13.5,36,13,2
Arizona,2009,23,37,27.14,26,8.8,41,8.2,34,47.9,36,12.6,22,10.5,18,15.3,27,8.6,17
Arkansas,2009,21.9,44,19.67,50,5.9,51,4.8,51,37.1,51,10,42,6.9,44,11,48,4,48
California,2009,23,37,25.49,29,9.3,33,8.3,32,47.1,41,8.9,48,9.4,27,11.5,46,5.3,43
Colorado,2009,31.5,16,33.02,12,11.6,21,10.7,17,57.7,11,14.6,14,11.1,17,22.6,1,7.9,24
Connecticut,2009,31.6,15,27.11,27,11.8,19,7.7,37,63.2,2,14.1,17,11.5,15,14.5,31,9.2,12
DC,2009,30.4,18,41.88,3,17.6,7,14.6,6,45.7,45,22.2,1,20.8,2,21.3,5,5.9,40
Delaware,2009,24.1,33,27.33,25,9.7,28,8.4,31,52.3,24,10.9,35,6.6,45,15,28,6.5,34
Florida,2009,21,47,27.87,24,8.5,43,7.7,37,46.1,43,8.2,51,6.5,46,12.8,38,3.8,49
Georgia,2009,22.5,41,24.12,38,9.5,31,9.3,24,47.2,40,9.2,44,4.2,51,22.1,2,6.1,38
Hawaii,2009,24.4,32,30.17,18,9.6,30,7.3,41,51.7,26,9.1,45,8.3,35,12.2,42,6.5,34
Idaho,2009,33.2,10,37.29,6,17.8,3,14.3,7,56.4,15,15.2,12,10.2,20,18.4,10,10.7,7
Illinois,2009,26.8,27,30.33,17,9.9,27,9,28,51.7,26,13.5,19,10,21,12,44,7.4,27
Indiana,2009,27.7,21,29.80,21,8.4,44,7.1,44,47.6,38,10.7,37,12.6,11,16.5,19,9.8,9
Iowa,2009,37.5,2,36.36,7,16,9,11.4,14,56.2,16,14.4,15,8.9,32,12.9,37,10.3,8
Kansas,2009,34,9,31.23,14,11.3,22,11.3,15,56.5,14,12.2,26,7.8,38,16.9,17,8.3,20
Kentucky,2009,23.2,36,23.70,39,6.6,50,6.8,49,47.6,38,9.1,45,4.9,50,12.1,43,5.7,41
Louisiana,2009,19.2,50,23.18,42,9.7,28,10.3,19,40.8,50,8.9,48,5.6,48,13.9,34,8,23
Maine,2009,32.6,12,40.48,4,17.7,4,12.1,12,51.1,29,16.5,10,12,13,16.8,18,9,14
Maryland,2009,27.7,21,33.23,11,11.3,22,9.2,25,52.1,25,10.4,39,9.4,27,17.5,15,5.6,42
Massachusetts,2009,25.3,31,21.39,46,12.8,17,10.8,16,56.6,13,12.6,22,7.4,39,16.4,20,7.1,30
Michigan,2009,27.1,25,28.33,23,11.2,24,9.2,25,49.5,32,13.4,20,11.9,14,16.4,20,7.3,28
Minnesota,2009,34.7,7,30.65,16,13.8,13,11.6,13,60.1,6,18.4,8,17.8,6,18.7,9,12,4
Mississippi,2009,21.2,46,21.07,47,8.4,44,6.9,47,45.8,44,11,32,8.4,34,21.8,4,7.5,26
Missouri,2009,27.2,24,24.51,37,8.7,42,10.3,19,45.7,45,12,27,8.5,33,16.2,23,6.9,32
Montana,2009,32.3,14,39.54,5,17.7,4,12.8,9,59.2,9,21,3,22.6,1,15.6,24,10.8,6
Nebraska,2009,35.1,6,35.43,10,12.9,16,9.2,25,60.2,5,14.9,13,9.4,27,16.4,20,8.7,16
Nevada,2009,19.6,49,23.34,41,9.2,35,7.2,43,46.3,42,9.1,45,9.5,25,9.2,51,2.5,51
New Hampshire,2009,26.8,27,25.25,33,16,9,10.3,19,52.8,23,16,11,17.9,5,12.4,41,8.3,20
New Jersey,2009,20.5,48,22.28,45,9.1,37,6,50,48.2,35,11,32,7.3,42,11.4,47,4.1,47
New Mexico,2009,21.5,45,22.57,44,9.3,33,8.6,30,41.1,49,21.1,2,10,21,21.9,3,4.8,45
New York,2009,18,51,20.04,49,8.9,38,6.9,47,41.8,48,10.8,36,8,37,14,33,6.8,33
North Carolina,2009,22.5,42,20.37,48,8,47,7.9,35,50.2,30,11,32,7.4,39,18.2,12,4.5,46
North Dakota,2009,30.9,17,25.81,28,15.2,11,12.8,9,56.7,12,12.3,25,7.3,42,10.4,50,11.4,5
Ohio,2009,27.5,23,22.63,43,10.4,25,9.4,23,49.5,32,13.9,18,9.5,25,15.4,26,7.8,25
Oklahoma,2009,29.6,19,25.39,31,9.4,32,7.4,40,52.9,22,10.2,40,9.4,27,14.9,29,9,14
Oregon,2009,32.8,11,36.16,8,12.7,18,14.7,5,59.9,7,17.5,9,20.6,3,17.1,16,8.4,19
Pennsylvania,2009,26.3,30,25.10,34,8.9,38,7.3,41,51.4,28,11.3,29,10.3,19,12.8,38,7.2,29
Rhode Island,2009,22.3,43,25.40,30,11.8,19,7.6,39,54,20,11.2,30,10,21,12.5,40,6,39
South Carolina,2009,23.7,34,24.59,36,10.4,25,10.6,18,49.4,34,14.4,15,14.5,8,20.2,6,9.6,11
South Dakota,2009,36,3,30.11,19,14.9,12,13,8,57.9,10,12.4,24,8.2,36,10.7,49,9.1,13
Tennessee,2009,27.1,25,30.05,20,8.3,46,8.3,32,53.2,21,11.6,28,7.4,39,14.5,31,8.6,17
Texas,2009,22.9,39,23.47,40,7.2,49,7.1,44,47.8,37,10.1,41,9.8,24,15.5,25,5,44
Utah,2009,43.9,1,74.22,1,16.6,8,22.3,1,71.5,1,9.7,43,15.1,7,18.1,13,3.1,50
Vermont,2009,36,3,35.63,9,23.1,1,15.6,3,50,31,20.8,4,20.1,4,18.3,11,15.2,1
Virginia,2009,26.6,29,31.44,13,9.2,35,8.9,29,54.4,18,10.5,38,9.4,27,17.9,14,6.5,34
Washington,2009,32.4,13,31.12,15,13.3,14,12.7,11,59.6,8,19.8,7,13.9,9,18.9,8,6.2,37
West Virginia,2009,23.4,35,25.34,32,7.3,48,7.9,35,42,47,11.2,30,5.9,47,13.8,35,7,31
Wisconsin,2009,34.4,8,28.47,22,13,15,9.8,22,62,3,13.4,20,12.2,12,14.6,30,9.8,9
Wyoming,2009,29.4,20,24.85,35,17.7,4,14.9,4,54.1,19,20.5,5,13.5,10,11.6,45,12.2,3
National Average,2009,25.3,,23.68,,10,,8.8,,50.4,,11.6,,9.5,,15.1,,6.7,
