state,year,volunteerPercent,volunteerRank,volunteerHours,volunteerHoursRank,meetingPercent,meetingRank,communityPercent,communityRank,donatedPercent,donatedRank,votePercent,voteRank,registeredPercent,registeredRank,contactedPercent,contactedRank,productPercent,productRank,groupPercent,groupRank,organizationPercent,organizationRank Voted,Voted_rank,Percent Registered to Vote,Registered to Vote_rank
Alabama,2012,22.8,39,21.38,43,9,29,7.1,43,56.5,11,61.9,28,73.5,19
Alaska,2012,34.9,3,38.78,3,18.2,4,16.8,3,63.8,2,58.4,41,72.8,27
Arizona,2012,21.9,42,26.00,27,8,40,7.1,43,50.2,35,55.9,45,65.2,47
Arkansas,2012,19.5,47,15.54,50,7.3,46,6.3,49,42.5,50,53.3,48,65.3,46
California,2012,23.4,36,24.87,32,7.4,44,7.2,42,48.7,41,57.5,43,65.6,45
Colorado,2012,31.1,12,30.99,10,12.3,14,11.8,8,57.8,8,70.4,6,74.4,16
Connecticut,2012,29.3,18,30.19,12,11,21,9.7,21,59,5,62.7,26,70.4,34
DC,2012,29.8,15,29.28,14,17.6,5,16.3,5,52.9,27,75.9,1,83.4,2
Delaware,2012,24.9,29,25.56,29,8.9,30,9.2,28,51.3,31,67.3,12,73.3,22
Florida,2012,20.6,46,24.72,34,7,47,6.3,49,45.1,47,60.8,36,68.3,40
Georgia,2012,23,38,21.38,43,8.2,37,7.9,35,48.9,40,61.9,28,70.7,33
Hawaii,2012,23.4,36,29.85,13,6.7,48,8.9,31,54,24,51.6,50,58.9,51
Idaho,2012,33.6,8,36.58,5,12.9,11,11.4,10,55.9,17,63.9,20,70,35
Illinois,2012,26,26,22.46,39,8.7,31,7.1,43,56.1,15,61.5,34,72.7,28
Indiana,2012,29.4,17,29.11,16,8.2,37,7.7,39,54.4,22,59.3,37,69.2,37
Iowa,2012,31.1,12,26.06,26,10.5,23,9.7,21,51.7,29,69.4,7,78.2,6
Kansas,2012,35,2,29.05,17,12.3,14,11.1,11,57.7,9,63.3,23,74.4,16
Kentucky,2012,21.4,44,21.91,41,7.7,42,7.3,41,49.5,38,59.3,37,72.1,29
Louisiana,2012,15.8,51,13.65,51,6.6,49,9.4,25,37.1,51,66.3,15,77.1,9
Maine,2012,30.8,14,33.08,7,18.7,3,12.3,7,53.9,25,68.6,10,77.1,9
Maryland,2012,28.4,19,32.66,9,11.4,19,10.7,13,56.1,15,65.1,18,72.1,29
Massachusetts,2012,24.2,32,24.34,35,10.5,23,7.8,37,55.2,19,70.8,5,78.7,5
Michigan,2012,27.1,22,24.77,33,9.4,26,9.3,26,51,33,66.8,14,77.8,8
Minnesota,2012,34.4,4,30.87,11,11.6,17,11.1,11,61.6,3,73.2,4,79,3
Mississippi,2012,24,33,18.69,48,8.6,32,9.5,24,50.1,36,74.5,2,84.2,1
Missouri,2012,29.5,16,25.49,30,8.2,37,9.2,28,54.2,23,63.9,20,76.7,11
Montana,2012,27.6,20,35.15,6,17,6,10.2,18,55.2,19,65.7,16,73.3,22
Nebraska,2012,33.2,9,27.56,21,11,21,10.5,15,57.9,7,61.6,31,69.5,36
Nevada,2012,18.4,49,20.28,46,8.5,34,9.6,23,49.5,38,57.9,42,65,48
New Hampshire,2012,26.2,25,25.37,31,15.1,7,10.6,14,57.1,10,69.4,7,75.9,12
New Jersey,2012,21.8,43,22.13,40,9.3,28,7.8,37,53.1,26,61.9,28,73,26
New Mexico,2012,26.5,24,28.78,18,11.3,20,7.9,35,46.4,45,61.6,31,68.6,38
New York,2012,18.5,48,19.78,47,8.4,35,6.5,48,45.1,47,58.7,40,67.9,42
North Carolina,2012,25.7,28,27.48,22,9.4,26,8.9,31,51.6,30,68.9,9,78.9,4
North Dakota,2012,26.8,23,24.29,36,12.9,11,10.1,19,50.4,34,63.9,20,74.5,15
Ohio,2012,24.8,31,24.23,37,7.6,43,8.4,33,47.3,43,63.1,25,71.1,32
Oklahoma,2012,23.5,35,26.86,24,8.6,32,6.8,46,45.6,46,52.4,49,66.1,44
Oregon,2012,34.2,5,41.56,2,13.7,9,12.6,6,56.2,14,67.6,11,74.3,18
Pennsylvania,2012,24.9,29,23.53,38,8.4,35,8.4,33,51.3,31,61.6,31,71.9,31
Rhode Island,2012,22.1,41,18.58,49,11.6,17,7.7,39,56.3,13,62.5,27,73.5,19
South Carolina,2012,22.7,40,28.65,19,7.4,44,9.3,26,52.6,28,64.7,19,73.3,22
South Dakota,2012,31.9,11,26.17,25,15,8,16.5,4,55.9,17,61,35,74.8,13
Tennessee,2012,23.7,34,27.97,20,6.1,51,6.7,47,54.5,21,55.7,46,68.6,38
Texas,2012,21.1,45,21.46,42,6.5,50,5.9,51,46.9,44,53.8,47,66.9,43
Utah,2012,46.5,1,59.02,1,19.3,2,23.2,1,70.8,1,57,44,63.5,50
Vermont,2012,33.1,10,32.75,8,24.2,1,19.1,2,47.7,42,63.3,23,73.4,21
Virginia,2012,27.2,21,27.31,23,10,25,9.2,28,56.5,11,66.9,13,74.6,14
Washington,2012,33.9,7,37.09,4,11.7,16,11.8,8,58.4,6,65.6,17,73.1,25
West Virginia,2012,18.1,50,20.35,45,7.9,41,10.4,16,43.8,49,47.8,51,68.1,41
Wisconsin,2012,34.2,5,29.20,15,13.5,10,10.4,16,60.8,4,73.6,3,78.1,7
Wyoming,2012,25.8,27,25.75,28,12.6,13,9.8,20,49.7,37,58.9,39,63.9,49
National Average,2012,24.9,,22.03,,9,,8.4,,51.6,,61.8,,71.2,
