State,Year,Percent Volunteered,Volunteered_Rank,Hours Volunteered per capita,Hours Volunteered_rank,Percent Attended a Public Meeting,Percent Attended a Public Meeting_rank,Percent Worked with Neighbors to Fix a Community Problem,Worked with Neighbors to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Voted,Voted_rank,Percent Registered to Vote,Registered to Vote_rank
Alabama,2014,22.5,37,26.47,18,7.6,31,7.2,34,51.1,32,42.5,28,67.2,20
Alaska,2014,31.1,10,28.23,14,17.8,2,16.5,2,54.1,18,50.7,9,66.8,23
Arizona,2014,22.1,40,25.89,20,6.7,42,7,36,51,33,40.6,36,62.3,41
Arkansas,2014,19.4,45,20.17,47,6.1,47,5.9,46,42.2,50,38.8,40,62.8,39
California,2014,22.5,37,25.15,26,6.9,37,6.9,38,47,44,36.6,43,57.7,48
Colorado,2014,29.7,14,30.13,10,12,12,10.5,12,63.4,3,59.3,2,71.1,10
Connecticut,2014,26.8,21,18.25,50,10.2,19,9.2,18,56.4,12,46.7,19,65.1,29
DC,2014,29.2,17,29.72,12,16.3,3,15.7,3,52.1,26,51.4,7,73.5,3
Delaware,2014,24.4,27,22.90,33,11.6,14,8.8,22,52.4,24,45.2,22,66.8,23
Florida,2014,18.9,47,25.21,25,6.3,45,5.8,48,42.3,49,44.8,23,62.6,40
Georgia,2014,20,44,20.63,43,6.9,37,6.5,43,42.9,48,43.2,27,63.7,37
Hawaii,2014,22.2,39,19.41,49,6.3,45,7.2,34,52.5,23,41.8,32,51.3,51
Idaho,2014,34.9,2,31.44,7,9.8,22,9.2,18,56.1,15,41.8,32,60.7,44
Illinois,2014,23.2,33,21.53,38,7.3,32,6.8,42,53,21,41.7,34,63.9,36
Indiana,2014,24,29,20.98,40,5.8,50,6.1,45,52.4,24,35.1,47,64.9,30
Iowa,2014,32.1,8,22.73,34,11.3,15,8.1,27,49.6,38,52.9,5,69.6,14
Kansas,2014,31.5,9,24.50,27,7.1,34,7.7,30,54.6,17,48.3,15,67.9,18
Kentucky,2014,24,29,21.56,37,6.1,47,7.3,33,49.8,36,47.5,16,71.6,8
Louisiana,2014,16.1,51,12.72,51,5.9,49,5.9,46,43.4,47,50.2,10,71.7,7
Maine,2014,29.7,14,30.76,8,14.9,4,12,8,50.9,34,61.5,1,76.5,1
Maryland,2014,25.4,25,24.42,28,10.2,19,9.3,17,56.7,11,48.9,14,72.2,4
Massachusetts,2014,22.7,35,20.65,42,9.7,23,5.5,49,53.2,19,46.9,18,67.5,19
Michigan,2014,23.2,33,20.42,44,8.6,27,9,20,47.8,42,47.1,17,71.2,9
Minnesota,2014,33.5,6,28.14,15,11.9,13,9.9,14,59.3,5,52,6,71.8,6
Mississippi,2014,18.9,47,20.12,48,6.9,37,6.4,44,44.3,46,42.3,31,76,2
Missouri,2014,25.9,23,24.24,29,7.9,30,7.6,32,56,16,38.7,41,72.1,5
Montana,2014,27.4,18,26.14,19,13.5,9,11.8,9,53.2,19,50.1,12,64.8,33
Nebraska,2014,34.5,3,32.64,6,9.4,24,9,20,56.3,14,44.3,24,66.9,22
Nevada,2014,18.2,49,20.22,46,7,36,6.9,38,49,39,37.3,42,58.5,47
New Hampshire,2014,27.4,18,29.99,11,14.1,8,9.7,15,59.2,6,50.2,10,68.3,17
New Jersey,2014,21.2,42,25.29,24,6.8,40,6.9,38,52.9,22,36.4,46,66.3,28
New Mexico,2014,23.7,31,29.30,13,10,21,7.8,29,49,39,45.6,21,64.9,30
New York,2014,17.7,50,32.80,5,7.3,32,7,36,48.1,41,34.4,49,59.4,45
North Carolina,2014,24.3,28,25.33,23,6.8,40,7.7,30,50.7,35,46.2,20,69.7,13
North Dakota,2014,29.9,12,23.73,30,14.6,6,11.3,10,62.2,4,51,8,66.4,27
Ohio,2014,25.8,24,23.16,32,8,29,8.5,24,51.2,31,39.7,39,66.5,26
Oklahoma,2014,24.6,26,22.07,35,7.1,34,6.9,38,46.3,45,34.2,50,61.1,43
Oregon,2014,30,11,34.81,4,10.7,16,12.2,7,59.2,6,55.5,3,70,12
Pennsylvania,2014,26.1,22,27.52,17,8.1,28,7.9,28,52,27,40,38,64.4,34
Rhode Island,2014,23.6,32,20.23,45,9.2,26,8.2,26,56.4,12,43.3,26,63.6,38
South Carolina,2014,21.1,43,27.57,16,9.3,25,10.3,13,49.8,36,42.4,30,68.9,15
South Dakota,2014,34.2,4,25.82,21,14.6,6,13.6,5,58,8,44.1,25,64.9,30
Tennessee,2014,22.7,35,20.91,41,5.8,50,5.1,51,51.8,29,36.6,43,64.1,35
Texas,2014,21.7,41,21.40,39,6.4,44,5.2,50,47.1,43,34.6,48,59.1,46
Utah,2014,44.1,1,66.18,1,14.8,5,17.9,1,66.4,1,36.5,45,57.2,49
Vermont,2014,33.7,5,36.04,3,18.7,1,15.1,4,52,27,42.5,28,67.2,20
Virginia,2014,29.8,13,37.56,2,10.3,18,9.4,16,56.9,10,41.7,34,66.6,25
Washington,2014,26.9,20,22.05,36,12.6,11,12.5,6,57.3,9,50,13,68.7,16
West Virginia,2014,19.1,46,23.29,31,6.5,43,10.6,11,38.8,51,33.6,51,62.2,42
Wisconsin,2014,32.3,7,25.70,22,12.8,10,8.8,22,64.2,2,55.4,4,71,11
Wyoming,2014,29.5,16,30.45,9,10.6,17,8.4,25,51.7,30,40.3,37,56.5,50
National Average,2014,23.7,,21.19,,8.2,,7.7,,51,,41.9,,64.6,
